STM0001	thr operon leader peptide
STM3523	DeoR/GlpR family transcriptional regulator
STM3524	rhomboid family serine protease GlpG
STM3525	thiosulfate sulfurtransferase
STM3526	glycerol-3-phosphate dehydrogenase
STM3527	hypothetical protein
STM3528	putative periplasmic phosphate-binding protein
STM3529	putative glycerol dehydrogenase
STM3531	dihydroxy-acid dehydratase
STM3532	dihydrodipicolinate synthase family protein
STM3533	IclR family transcriptional regulator
STM3534	glycogen phosphorylase
STM3535	starch synthase
STM3536	glucose-1-phosphate adenylyltransferase
STM3537	glycogen-debranching enzyme GlgX
STM3538	1,4-alpha-glucan branching enzyme
STM3539	aspartate-semialdehyde dehydrogenase
STM3540	putative inner membrane protein
STM3541	gluconate transporter
STM3542	gluconokinase
STM3543	transcriptional regulator
STM3544	quercetin 2,3-dioxygenase
STM3545	putative oxidoreductase
STM3546	N-acetyltransferase
STM3547	ribokinase
STM3548	hypothetical protein
STM3549	hypothetical protein
STM3550	putative phosphotriesterase
STM3551	gamma-glutamyltransferase
STM3552	hypothetical protein
STM3553	glycerophosphodiester phosphodiesterase
STM3554	sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC
STM3555	glycerol-3-phosphate transporter
STM3556	glycerol-3-phosphate transporter permease
STM3557	sn-glycerol-3-phosphate ABC transporter substrate-binding protein
STM3558	prophage maintenance system killer protein
STM3559	putative cytoplasmic protein
STM3560	branched-chain amino acid ABC transporter ATP-binding protein
STM3561	high-affinity branched-chain amino acid ABC transporter ATP-binding protein LivG
STM3562	high-affinity branched-chain amino acid ABC transporter permease LivM
STM3563	branched-chain amino acid ABC transporter permease LivH
STM3564	leucine ABC transporter subunit substrate-binding protein LivK
STM3565	GNAT family N-acetyltransferase
STM3566	hypothetical protein
STM3567	high-affinity branched-chain amino acid transporter
STM3568	RNA polymerase factor sigma-32
STM3569	cell division protein FtsX
STM3570	cell division ATP-binding protein FtsE
STM3571	signal recognition particle-docking protein FtsY
STM3572	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD
STM3573	putative inner membrane protein
STM3574	hypothetical protein
STM3575	hypothetical protein
STM3576	zinc/cadmium/mercury/lead-transporting ATPase
STM3577	methyl-accepting chemotaxis protein II
STM3578	sulfurtransferase TusA
STM3579	hypothetical protein
STM3580	hypothetical protein
STM3581	putative MFS family transport protein
STM3582	permease
STM3583	ACP synthase
STM3584	nickel-responsive transcriptional regulator
STM3585	hypothetical protein
STM3586	putative ABC-type multidrug transport system
STM3587	hypothetical protein
STM3588	hypothetical protein
STM3589	anion permease
STM3590	universal stress protein UspB
STM3591	universal stress global response regulator UspA
STM3592	dipeptide/tripeptide permease
STM3593	16S rRNA (guanine(1516)-N(2))-methyltransferase
STM3594	oligopeptidase A
STM3595	phosphoesterase PA-phosphatase
STM3596	23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ
STM3597	glutathione-disulfide reductase
STM3598	putative L-asparaginase
STM3599	C4-dicarboxylate ABC transporter
STM3600	fructoselysine 6-kinase
STM3601	putative phosphosugar isomerase
STM3602	GntR family transcriptional regulator
STM3603	alpha,alpha-trehalase
STM3604	hypothetical protein
STM3605	endolysin
STM3606	helix-turn-helix transcriptional regulator
STM3607	putative LysR family transcriptional regulator
STM3608	hypothetical protein
STM3609	MFS transporter
STM3610	hypothetical protein
STM3611	cyclic-guanylate-specific phosphodiesterase
STM3612	ketodeoxygluconokinase
STM3613	putative Zn-dependent peptidase
STM3614	C4-dicarboxylate transporter DctA
STM3615	putative diguanylate cyclase/phosphodiesterase
STM3616	cellulose biosynthesis protein BcsC
STM3617	endo-1,4-D-glucanase
STM3618	cellulose synthase regulator BcsB
STM3619	UDP-forming cellulose synthase catalytic subunit
STM3620	cellulose synthase operon protein YhjQ
STM3621	hypothetical protein
STM3622	putative cytoplasmic protein
STM3623	hypothetical protein
STM3624	hypothetical protein
STM3624A	cystathionine gamma-synthase
STM3625	transporter
STM3626	dipeptide ABC transporter ATP-binding protein
STM3627	dipeptide ABC transporter ATP-binding protein
STM3628	dipeptide ABC transporter permease DppC
STM3629	dipeptide ABC transporter permease DppB
STM3630	ABC transporter substrate-binding protein
STM3631	nucleobase:cation symporter
STM3632	aryl sulfotransferase
STM3633	LacI family transcriptional regulator
STM3635	lipid A phosphoethanolamine transferase
STM3636	long polar fimbrial protein LpfE
STM3637	long polar fimbrial protein LpfD
STM3638	fimbrial assembly protein
STM3639	long polar fimbrial chaperone LpfB
STM3640	long polar fimbria
STM3641	hypothetical protein
STM3642	DNA-3-methyladenine glycosylase I
STM3643	N-acetyltransferase
STM3644	trimethylamine N-oxide reductase I catalytic subunit
STM3645	OmpA family lipoprotein
STM3646	bifunctional glyoxylate/hydroxypyruvate reductase B
STM3647	hypothetical protein
STM3648	putative transcriptional regulator
STM3649	cold-shock protein
STM3650	hypothetical protein
STM3651	GNAT family N-acetyltransferase
STM3652	putative cytoplasmic protein
STM3653	GNAT family N-acetyltransferase
STM3655	glycine--tRNA ligase subunit beta
STM3656	glycine--tRNA ligase subunit alpha
STM3657	hypothetical protein
STM3658	acetyltransferase
STM3659	hypothetical protein
STM3660	xylulokinase
STM3661	xylose isomerase
STM3662	XylR family transcriptional regulator
STM3663	hypothetical protein
STM3664	alpha-amylase
STM3665	valine--pyruvate transaminase
STM3666	electron transporter
STM3667	IclR family transcriptional repressor
STM3668	3-dehydro-L-gulonate 2-dehydrogenase
STM3669	hypothetical protein
STM3670	DUF4862 domain-containing protein
STM3671	2,3-diketo-L-gulonate TRAP transporter small permease YiaM
STM3672	L-dehydroascorbate transporter large permease subunit
STM3673	2,3-diketo-L-gulonate TRAP transporter
STM3674	carbohydrate kinase
STM3675	3-keto-L-gulonate-6-phosphate decarboxylase
STM3676	xylulose 5-phosphate 3-epimerase
STM3677	L-ribulose-5-phosphate 4-epimerase
STM3678	AraC family transcriptional regulator
STM3679	hypothetical protein
STM3680	aldehyde dehydrogenase
STM3681	sugar kinase
STM3682	selenocysteinyl-tRNA-specific translation elongation factor SelB
STM3683	L-seryl-tRNA(Sec) selenium transferase
STM3684	putative glutathione S-transferase
STM3685	PTS mannitol transporter subunit IICBA
STM3686	mannitol-1-phosphate 5-dehydrogenase
STM3687	mannitol operon repressor
STM3688	hypothetical protein
STM3689	hypothetical protein
STM3690	hypothetical protein
STM3691	hypothetical protein
STM3692	L-lactate permease
STM3693	transcriptional regulator LldR
STM3694	L-lactate dehydrogenase
STM3695	tRNA (uridine(34)/cytosine(34)/5-carboxymethylaminomethyluridine(34)-2'-O)-methyltransferase TrmL
STM3696	putative transcriptional regulator
STM3697	mandelate racemase/muconate lactonizing protein
STM3698	D-galactonate transporter
STM3699	serine O-acetyltransferase
STM3700	glycerol-3-phosphate dehydrogenase
STM3701	protein-export chaperone SecB
STM3702	glutaredoxin 3
STM3703	hypothetical protein
STM3704	phosphoglycerate mutase
STM3705	murein hydrolase activator EnvC
STM3706	hypothetical protein
STM3707	putative glycosyltransferase
STM3708	L-threonine 3-dehydrogenase
STM3709	glycine C-acetyltransferase
STM3710	ADP-glyceromanno-heptose 6-epimerase
STM3711	ADP-heptose--LPS heptosyltransferase
STM3712	lipopolysaccharide heptosyltransferase 1
STM3713	O-antigen ligase
STM3714	UDP-glucose--(glucosyl)LPS alpha-1,2-glucosyltransferase
STM3715	3-deoxy-D-manno-oct-2-ulosonate III transferase WaaZ
STM3716	heptose kinase
STM3717	lipopolysaccharide 1,2-glucosyltransferase
STM3718	lipopolysaccharide 1,3-galactosyltransferase
STM3719	glycosyl transferase
STM3720	putative inner membrane protein
STM3721	lipopolysaccharide core heptose(I) kinase RfaP
STM3722	glucosyltransferase I RfaG
STM3723	lipopolysaccharide core biosynthesis protein
STM3724	3-deoxy-D-manno-octulosonic acid transferase
STM3725	pantetheine-phosphate adenylyltransferase
STM3726	DNA-formamidopyrimidine glycosylase
STM3727	50S ribosomal protein L33
STM3728	50S ribosomal protein L28
STM3729	hypothetical protein
STM3730	bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate synthase
STM3731	deoxyuridinetriphosphatase
STM3732	nucleoid occlusion factor SlmA
STM3733	orotate phosphoribosyltransferase
STM3734	ribonuclease PH
STM3735	YicC family protein
STM3736	putative LysR family transcriptional regulator
STM3737	putative Zn-dependent hydrolase
STM3738	hypothetical protein
STM3739	DNA ligase B
STM3740	guanylate kinase
STM3741	DNA-directed RNA polymerase subunit omega
STM3742	bifunctional GTP diphosphokinase/guanosine-3',5'-bis(diphosphate) 3'-diphosphatase
STM3743	tRNA (guanosine(18)-2'-O)-methyltransferase TrmH
STM3744	ATP-dependent DNA helicase RecG
STM3745	hypothetical protein
STM3746	sodium/glutamate symporter
STM3747	xanthine permease XanP
STM3748	hypothetical protein
STM3749	putative alpha-xylosidase
STM3750	glycoside-pentoside-hexuronide family transporter
STM3752	hypothetical protein
STM3753	ATP-binding protein
STM3754	putative cytoplasmic protein
STM3755	hypothetical protein
STM3756	transcriptional regulator
STM3757	autotransporter outer membrane beta-barrel domain-containing protein
STM3758	putative inner membrane protein
STM3759	putative transcriptional regulatory protein
STM3760	putative cytoplasmic protein
STM3761	hydrolase
STM3762	hypothetical protein
STM3763	magnesium-translocating P-type ATPase
STM3764	magnesium transporter MgtC
STM3765	putative permease
STM3766	hypothetical protein
STM3767	4-hydroxy-2-ketovalerate aldolase
STM3768	selenocysteine synthase
STM3769	putative phosphotransferase system enzyme II
STM3770	PTS sorbose transporter subunit IIC
STM3771	PTS sugar transporter subunit IIB
STM3772	PTS fructose transporter subunit IIA
STM3773	transcriptional regulator
STM3774	hypothetical protein
STM3775	6-phospho-beta-glucosidase
STM3776	MFS transporter
STM3777	addiction module toxin RelE
STM3778	transcriptional regulator
STM3779	PTS sugar transporter
STM3780	fructose-1,6-bisphosphate aldolase
STM3781	carbohydrate kinase
STM3782	PTS galactitol transporter subunit IIC
STM3783	PTS sugar transporter subunit IIB
STM3784	PTS suar transporter subunit IIA
STM3785	hypothetical protein
STM3786	hypothetical protein
STM3787	hexose phosphate transporter
STM3788	regulatory protein UhpC
STM3789	two-component system sensor histidine kinase UhpB
STM3790	DNA-binding response regulator
STM3791	DUF4432 domain-containing protein
STM3792	L-fucose:H+ symporter permease
STM3793	ribokinase
STM3794	DeoR family transcriptional regulator
STM3795	acetolactate synthase I small subunit
STM3796	acetolactate synthase I large subunit
STM3797	leader peptide IlvB
STM3797A	YsdA
STM3796B	type I toxin-antitoxin system toxin TisB
STM3796A	integral membrane protein
STM3798	multidrug transporter EmrD
STM3799	hypothetical protein
STM3800	LysR family transcriptional activator
STM3801	D-serine transporter DsdX
STM3802	D-serine ammonia-lyase
STM3803	hypothetical protein
STM3804	hypothetical protein
STM3805	hypothetical protein
STM3807	transporter
STM3808	heat-shock protein
STM3809	heat-shock protein IbpA
STM3810	putative outer membrane lipoprotein
STM3811	hypothetical protein
STM3812	cytochrome c biogenesis protein CcmH
STM3813	thiol:disulfide interchange protein
STM3814	c-type cytochrome biogenesis protein CcmF
STM3815	cytochrome c biogenesis protein CcmE
STM3816	heme exporter CcmD
STM3817	heme ABC transporter permease
STM3818	heme exporter CcmB
STM3819	heme ABC transporter ATP-binding protein CcmA
STM3820	cytochrome-c peroxidase
STM3821	molecular chaperone TorD
STM3822	trimethylamine N-oxide reductase I catalytic subunit
STM3823	trimethylamine N-oxide reductase cytochrome c-type subunit
STM3824	two-component system response regulator TorR
STM3825	TMAO reductase system periplasmic protein TorT
STM3826	TMAO reductase system sensor histidine kinase/response regulator TorS
STM3827	MFS transporter
STM3828	2-oxo-3-deoxygalactonate 6-phosphate aldolase
STM3829	2-oxo-3-deoxygalactonate kinase
STM3830	galactonate operon transcriptional repressor
STM3831	sugar-phosphatase
STM3832	MFS transporter
STM3833	putative mandelate racemase
STM3834	putative LysR family transcriptional regulator
STM3835	DNA gyrase subunit B
STM3836	DNA replication/repair protein RecF
STM3837	DNA polymerase III subunit beta
STM3838	chromosomal replication initiation protein DnaA
STM3839	50S ribosomal protein L34
STM3840	ribonuclease P protein component
STM3841	membrane protein insertion efficiency factor YidD
STM3842	membrane protein insertase YidC
STM3843	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE
STM3845	hypothetical protein
STM3846	putative reverse transcriptase
STM3847	multidrug transporter subunit MdtL
STM3848	putative LysR family transcriptional regulator
STM3849	hypothetical protein
STM3850	putative oxidoreductase
STM3851	putative xanthine/uracil permeases family
STM3852	6-phosphogluconate phosphatase
STM3853	phosphate transport system regulatory protein PhoU
STM3854	phosphate ABC transporter ATP-binding protein
STM3855	phosphate ABC transporter permease PstA
STM3856	phosphate ABC transporter permease PstC
STM3857	phosphate ABC transporter substrate-binding protein PstS
STM3858	putative phosphotransferase system fructose-specific component IIB
STM3859	shikimate 5-dehydrogenase
STM3860	SgrR family transcriptional regulator
STM3861	glutamine--fructose-6-phosphate aminotransferase
STM3862	UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase
STM3863	putative permease
STM3864	F0F1 ATP synthase subunit epsilon
STM3865	F0F1 ATP synthase subunit beta
STM3866	F0F1 ATP synthase subunit gamma
STM3867	F0F1 ATP synthase subunit alpha
STM3868	F0F1 ATP synthase subunit delta
STM3869	F0F1 ATP synthase subunit B
STM3870	ATP F0F1 synthase subunit C
STM3871	F0F1 ATP synthase subunit A
STM3872	ATP F0F1 synthase subunit I
STM3873	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG
STM3874	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG
STM3875	FMN-binding protein MioC
STM3876	transcriptional regulator AsnC
STM3877	aspartate--ammonia ligase
STM3878	putative inner membrane protein
STM3879	ATPase RavA
STM3880	potassium transporter Kup
STM3881	D-ribose pyranase
STM3882	ribose ABC transporter ATP-binding protein RbsA
STM3883	ribose ABC transporter permease
STM3884	D-ribose ABC transporter substrate-binding protein RbsB
STM3885	ribokinase
STM3886	transcriptional repressor for rbs operon (GalR/LacI family)
STM3887	MFS transporter
STM3888	GntR family transcriptional regulator
STM3897	putative LysR family transcriptional regulator
STM3898	hypothetical protein
STM3899	magnesium chelatase subunit ChlI
STM3900	ilvG operon leader peptide
STM3901	acetolactate synthase 2 catalytic subunit
STM3902	acetolactate synthase II, small subunit
STM3903	branched chain amino acid aminotransferase
STM3904	dihydroxy-acid dehydratase
STM3905	PLP-dependent threonine dehydratase
STM3906	hypothetical protein
STM3907	hypothetical protein
STM3908	transcriptional regulator IlvY
STM3909	ketol-acid reductoisomerase
STM3910	peptidylprolyl isomerase
STM3911	putative inner membrane protein
STM3912	ATP-dependent DNA helicase Rep
STM3913	guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase
STM3914	ATP-dependent RNA helicase RhlB
STM3915	thioredoxin
STM3917	transcription termination factor Rho
STM3918	undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase
STM3919	polysaccharide chain length modulation protein
STM3920	UDP-N-acetylglucosamine 2-epimerase
STM3921	UDP-N-acetyl-D-mannosamine dehydrogenase
STM3922	dTDP-glucose 4,6-dehydratase
STM3923	glucose-1-phosphate thymidyl transferase
STM3924	lipopolysaccharide biosynthesis protein
STM3925	dTDP-4-amino-4,6-dideoxygalactose transaminase
STM3926	O-antigen translocase
STM3927	4-alpha-L-fucosyltransferase
STM3928	enterobacterial common antigen polymerase
STM3929	lipopolysaccharide N-acetylmannosaminouronosyltransferase
STM3930	amino acid permease
STM3935	protein for a late step of protoheme IX synthesis
STM3936	uroporphyrinogen-III C-methyltransferase
STM3937	uroporphyrinogen-III synthase
STM3938	porphobilinogen deaminase
STM3939	adenylate cyclase
STM3940	hypothetical protein
STM3941	hypothetical protein
STM3942	hypothetical protein
STM3943	iron donor protein CyaY
STM3944	hypothetical protein
STM3946	hypothetical protein
STM3947	diaminopimelate epimerase
STM3948	DUF484 family protein
STM3949	tyrosine recombinase XerC
STM3950	flavin mononucleotide phosphatase
STM3951	DNA helicase II
STM3952	magnesium/cobalt transporter CorA
STM3953	hypothetical protein
STM3954	hypothetical protein
STM3955	EamA family transporter
STM3956	putative PaaI protein
STM3957	phospholipase
STM3958	ATP-dependent DNA helicase
STM3959	threonine exporter RhtC
STM3960	homoserine/homoserine lactone efflux protein
STM3961	lysophospholipase
STM3962	HAD superfamily hydrolase
STM3963	EamA family transporter
STM3964	LysR family transcriptional regulator
STM3965	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase
STM3966	putative arylsulfatase regulator
STM3967	dienelactone hydrolase family protein
STM3968	uridine phosphorylase
STM3969	putative inner membrane protein
STM3970	ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
STM3971	hypothetical protein
STM3972	ubiquinone biosynthesis regulatory protein kinase UbiB
STM3973	Sec-independent protein translocase TatA
STM3974	twin arginine-targeting protein translocase TatB
STM3975	twin arginine-targeting protein translocase TatC
STM3976	hydrolase TatD
STM3977	transcriptional activator RfaH
STM3978	putative oxidoreductase
STM3979	NAD(P)H-flavin reductase
STM3980	putative outer membrane protein
STM3981	putative cytoplasmic protein
STM3982	3-ketoacyl-CoA thiolase
STM3983	3-hydroxyacyl-coA dehydrogenase
STM3984	Xaa-Pro dipeptidase
STM3985	YigZ family protein
STM3986	potassium transporter
STM3987	protoporphyrinogen oxidase
STM3993	molybdopterin-guanine dinucleotide biosynthesis protein B
STM3994	molybdenum cofactor guanylyltransferase MobA
STM3995	hypothetical protein
STM3996	stress response serine/threonine protein kinase YihE
STM3997	protein disulfide oxidoreductase DsbA
STM3998	acyltransferase
STM3999	DNA polymerase I
STM4000	spot 42 RNA, inhibition of DNA synthesis
STM4001	YihA family ribosome biogenesis GTP-binding protein
STM4002	hypothetical protein
STM4003	GTPase-activating protein
STM4004	oxygen-independent coproporphyrinogen III oxidase
STM4005	nitrogen regulation protein NR(I)
STM4006	sensory histidine kinase
STM4007	type I glutamate--ammonia ligase
STM4008	putative cytoplasmic protein
STM4009	GTP-binding protein TypA
STM4010	putative hydrolase
STM4011	hypothetical protein
STM4012	coproporphyrinogen III oxidase
STM4013	hypothetical protein
STM4014	putative periplasmic protein
STM4015	hypothetical protein
STM4016	porin
STM4017	MFS transporter
STM4018	hypothetical protein
STM4019	alpha-glucosidase
STM4020	aldose epimerase
STM4021	sugar isomerase
STM4022	putative aldolase
STM4023	6-phosphogluconate dehydrogenase
STM4024	ribokinase
STM4025	DeoR family transcriptional regulator
STM4026	glucose-1-phosphatase
STM4027	hypothetical protein
STM4028	D-tyrosyl-tRNA(Tyr) deacylase
STM4029	putative acetyltransferase
STM4030	hypothetical protein
STM4031	hypothetical protein
STM4032	lipase
STM4033	putative merR family bacterial regulatory protein
STM4034	formate dehydrogenase accessory protein FdhE
STM4035	formate dehydrogenase cytochrome b556 subunit
STM4036	formate dehydrogenase subunit beta
STM4037	formate dehydrogenase
STM4038	sulfurtransferase FdhD
STM4039	hypothetical protein
STM4040	putative cytoplasmic protein
STM4041	branched-chain amino acid transport
STM4042	branched-chain amino acid ABC transporter permease
STM4042A	hypothetical protein
STM4043	L-rhamnose mutarotase
STM4044	putative iron-containing alcohol dehydrogenase
STM4045	rhamnulose-1-phosphate aldolase
STM4046	L-rhamnose isomerase
STM4047	rhamnulokinase
STM4048	transcriptional activator RhaS
STM4049	AraC family transcriptional regulator
STM4050	rhamnose/proton symporter RhaT
STM4051	putative outer membrane protein
STM4052	TRAP-type C4-dicarboxylate transporter permease
STM4053	TRAP transporter small permease
STM4054	hypothetical protein
STM4055	superoxide dismutase
STM4056	putative cytoplasmic protein
STM4057	hypothetical protein
STM4058	two-component system sensor histidine kinase CpxA
STM4059	DNA-binding response regulator
STM4060	stress adaptor protein CpxP
STM4061	divalent metal cation transporter FieF
STM4062	6-phosphofructokinase
STM4063	sulfate transporter subunit
STM4064	CDP-diacylglycerol diphosphatase
STM4065	MFS transporter
STM4066	aminoimidazole riboside kinase
STM4067	putative ADP-ribosylglycohydrolase
STM4068	GntR family transcriptional regulator
STM4069	hypothetical protein
STM4070	putative cytoplasmic protein
STM4071	putative mannose-6-phosphate isomerase
STM4072	autoinducer-2 kinase
STM4073	putative transcriptional repressor
STM4074	autoinducer 2 ABC transporter ATP-binding protein LsrA
STM4075	autoinducer 2 ABC transporter permease LsrC
STM4076	putative sugar transport protein
STM4077	autoinducer 2 ABC transporter substrate-binding protein
STM4078	autoinducer 2 aldolase
STM4079	putative inner membrane protein
STM4080	epimerase
STM4081	triose-phosphate isomerase
STM4082	hypothetical protein
STM4083	hypothetical protein
STM4084	ferredoxin--NADP(+) reductase
STM4085	class II fructose-1,6-bisphosphatase
STM4086	glycerol kinase
STM4087	aquaporin
STM4088	septal ring assembly protein ZapB
STM4089	ribonuclease E activity regulator RraA
STM4090	1,4-dihydroxy-2-naphthoate polyprenyltransferase
STM4091	HslU--HslV peptidase ATPase subunit
STM4092	HslU--HslV peptidase proteolytic subunit
STM4093	cell division protein FtsN
STM4094	DNA-binding transcriptional regulator CytR
STM4095	factor Y
STM4096	50S ribosomal protein L31
STM4097	hypothetical protein
STM4098	aryl-sulfate sulfotransferase
STM4099	transcriptional repressor MetJ
STM4100	cystathionine gamma-synthase
STM4101	bifunctional aspartate kinase/homoserine dehydrogenase II
STM4102	mechanosensitive ion channel protein MscS
STM4103	hypothetical protein
STM4104	multifunctional 2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'-nucleotidase/3'-nucleotidase
STM4105	methylenetetrahydrofolate reductase [NAD(P)H
STM4106	catalase/peroxidase HPI
STM4107	DUF1287 domain-containing protein
STM4108	glycerol dehydrogenase
STM4109	fructose-6-phosphate aldolase
STM4110	phosphoenolpyruvate--protein phosphotransferase
STM4112	PTS fructose-specific transporter subunit EIIC
STM4113	PTS fructose-specific transporter subunit EIIB
STM4114	formate C-acetyltransferase
STM4115	[formate-C-acetyltransferase
STM4116	PTS fructose-specific transporter subunit EIIB
STM4117	AraC family transcriptional regulator
STM4118	hypothetical protein
STM4119	phosphoenolpyruvate carboxylase
STM4120	acetylornithine deacetylase
STM4121	N-acetyl-gamma-glutamyl-phosphate reductase
STM4122	acetylglutamate kinase
STM4123	argininosuccinate lyase
STM4125	DNA-binding transcriptional regulator OxyR
STM4126	NAD(P)(+) transhydrogenase
STM4127	DNA-binding transcriptional regulator FabR
STM4128	hypothetical protein
STM4129	tRNA (uridine(54)-C5)-methyltransferase TrmA
STM4130	TonB-dependent vitamin B12 receptor
STM4131	glutamate racemase
STM4137	UDP-N-acetylenolpyruvoylglucosamine reductase
STM4138	biotin--[acetyl-CoA-carboxylase
STM4139	type I pantothenate kinase
STM4141	hypothetical protein
STM4146	translation elongation factor Tu
STM4147	preprotein translocase subunit SecE
STM4148	transcription termination/antitermination protein NusG
STM4149	50S ribosomal protein L11
STM4150	50S ribosomal protein L1
STM4151	50S ribosomal protein L10
STM4152	50S ribosomal protein L7/L12
STM4153	DNA-directed RNA polymerase subunit beta
STM4154	DNA-directed RNA polymerase subunit beta'
STM4155	putative inner membrane protein
STM4156	hypothetical protein
STM4157	putative cytoplasmic protein
STM4158	hypothetical protein
STM4159	thiamine biosynthesis protein ThiH
STM4160	thiazole synthase
STM4161	sulfur carrier protein ThiS
STM4162	molybdopterin/thiamine biosynthesis adenylyltransferase
STM4163	thiamine-phosphate diphosphorylase
STM4164	phosphomethylpyrimidine synthase ThiC
STM4165	anti-RNA polymerase sigma 70 factor
STM4166	NADH pyrophosphatase
STM4167	uroporphyrinogen decarboxylase
STM4168	endonuclease V
STM4169	hypothetical protein
STM4170	DNA-binding protein
STM4171	hypothetical protein
STM4172	zinc resistance protein
STM4173	sensory histidine kinase
STM4174	two-component system response regulator
STM4175	phosphoribosylamine--glycine ligase
STM4176	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
STM4181	putative acetyltransferase
STM4182	homoserine O-succinyltransferase
STM4183	malate synthase A
STM4184	isocitrate lyase
STM4185	bifunctional isocitrate dehydrogenase kinase/phosphatase
STM4186	putative cytoplasmic protein
STM4187	transcriptional regulator IclR
STM4188	B12-dependent homocysteine-N5-methyltetrahydrofolate transmethylase
STM4189	PNaS family transporter
STM4190	dipeptidase E
STM4191	hypothetical protein
STM4192	hypothetical protein
STM4193	23S rRNA pseudouridine synthase F
STM4194	hypothetical protein
STM4195	bile acid:sodium symporter
STM4196	hypothetical protein
STM4197	putative inner membrane protein
STM4198	hypothetical protein
STM4199	hypothetical protein
STM4200	phage tail protein
STM4201	phage tail protein I
STM4202	baseplate protein
STM4203	baseplate protein
STM4204	hypothetical protein
STM4205	glycosyltransferase
STM4206	translocase
STM4207	baseplate protein
STM4208	phage protein D
STM4209	hypothetical protein
STM4210	putative methyl-accepting chemotaxis protein
STM4211	phage tail tape measure protein
STM4212	phage major tail tube protein
STM4213	phage tail protein
STM4214	hypothetical protein
STM4215	hypothetical protein
STM4216	hypothetical protein
STM4217	lytic murein transglycosylase
STM4218	hypothetical protein
STM4219	putative cytoplasmic protein
STM4220	lysine-sensitive aspartokinase III
STM4221	glucose-6-phosphate isomerase
STM4222	putative outer membrane protein
STM4223	putative outer membrane lipoprotein
STM4224	hypothetical protein
STM4225	hypothetical protein
STM4226	phosphate-starvation-inducible protein PsiE
STM4227	maltose transporter permease
STM4228	maltose ABC transporter permease MalF
STM4229	maltose transport protein
STM4230	ABC transporter ATP-binding protein
STM4231	maltoporin
STM4232	maltose regulon protein MalM
STM4233	chorismate lyase
STM4234	4-hydroxybenzoate polyprenyltransferase
STM4235	glycerol-3-phosphate 1-O-acyltransferase
STM4236	diacylglycerol kinase
STM4237	repressor LexA
STM4238	DNA-damage-inducible protein F
STM4239	putative cytoplasmic protein
STM4240	putative cytoplasmic protein
STM4241	ZnuABC operon transcriptional repressor
STM4242	conjugal transfer protein
STM4243	tRNA dihydrouridine(20/20a) synthase DusA
STM4244	phage shock protein G
STM4245	quinone oxidoreductase
STM4246	putative replicative DNA helicase
STM4247	alanine racemase
STM4248	aromatic amino acid aminotransferase
STM4249	acid phosphatase/phosphotransferase
STM4250	hypothetical protein
STM4251	hypothetical protein
STM4252	hypothetical protein
STM4253	putative outer membrane lipoprotein
STM4254	excinuclease ABC subunit A
STM4255	hypothetical protein
STM4256	ssDNA-binding protein
STM4257	hypothetical protein
STM4258	hypothetical protein
STM4259	ABC transporter
STM4260	cation transporter
STM4261	hypothetical protein
STM4262	antibiotic ABC transporter ATP-binding protein
STM4263	hypothetical protein
STM4264	hypothetical protein
STM4265	AraC family transcriptional regulator
STM4266	redox-sensitive transcriptional activator SoxR
STM4267	putative glutathione S-transferase
STM4268	permease
STM4269	Na+/H+ antiporter
STM4270	putative LysR family transcriptional regulator
STM4271	murein hydrolase regulator LrgA
STM4272	murein hydrolase effector protein LrgB
STM4273	cation/acetate symporter ActP
STM4274	hypothetical protein
STM4275	acetate--CoA ligase
STM4276	entericidin B precursor
STM4277	ammonia-forming cytochrome c nitrite reductase subunit c552
STM4278	formate-dependent nitrite reductase
STM4279	cytochrome c nitrite reductase Fe-S protein
STM4280	cytochrome c nitrite reductase subunit NrfD
STM4281	nitrite reductase
STM4282	formate-dependent nitrite reductase complex subunit NrfG
STM4283	glutamate/aspartate:proton symporter GltP
STM4284	hypothetical protein
STM4285	formate dehydrogenase
STM4286	aspartyl beta-hydroxylase
STM4287	putative regulator in phn operon
STM4288	VOC family protein
STM4289	hypothetical protein
STM4290	proline/betaine transporter
STM4291	sensory kinase in two-component regulatory system with BasR
STM4292	two-component system response regulator BasR
STM4293	phosphoethanolamine transferase EptA
STM4294	arginine:agmatine antiporter
STM4295	AraC family transcriptional regulator
STM4296	arginine decarboxylase
STM4297	transcriptional regulator MelR
STM4298	alpha-galactosidase
STM4299	melibiose:sodium transporter MelB
STM4300	fumarate hydratase
